Ciudades,Outliers_Count
Albacete,0
Alcalá de Henares,0
Alcobendas,5
Alcorcón,0
Algeciras,0
Alicante/Alacant,0
Almería,0
Ávila,0
Badajoz,0
Badalona,4
Barcelona,5
Burgos,0
Cáceres,1
Cádiz,0
Cartagena,0
Castelló de la Plana,1
Ceuta,1
Ciudad Real,0
Córdoba,0
"Coruña, A",1
Cuenca,0
Dos Hermanas,0
Elche/Elx,1
Fuenlabrada,0
Getafe,0
Gijón,0
Girona,0
Granada,0
Guadalajara,0
"Hospitalet de Llobregat, L'",0
Huelva,0
Huesca,0
Jaén,0
Jerez de la Frontera,1
"Palmas de Gran Canaria, Las",0
Leganés,1
León,0
Lleida,0
Logroño,0
Lugo,1
Madrid,8
Málaga,0
Marbella,1
Mataró,3
Melilla,4
Móstoles,0
Murcia,1
Ourense,0
Oviedo,0
Palencia,0
Palma de Mallorca,0
Parla,3
Pontevedra,0
Sabadell,5
Salamanca,0
San Cristóbal de La Laguna,1
Santa Coloma de Gramenet,0
Santa Cruz de Tenerife,1
Santander,0
Segovia,0
Sevilla,1
Soria,5
Tarragona,0
Terrassa,5
Teruel,6
Toledo,2
Torrejón de Ardoz,9
Valencia,0
Valladolid,0
Vigo,0
Zamora,1
Zaragoza,1
